DATUM,ANZAHL
01.08.2020,14 
01.09.2020,24 
01.10.2020,26 
01.11.2020,34 
01.12.2020,32 
01.01.2021,38 
01.02.2021,42 
01.03.2021,43 
01.04.2021,45 
01.05.2021,46 
01.06.2021,48 
01.07.2021,48
01.08.2021,50 
01.09.2021,52 
01.10.2021,55 
01.11.2021,56 
01.12.2021,54 
01.01.2022,59 
01.02.2022,60 
01.03.2022,62 
01.04.2022,61 
01.05.2022,63 
01.06.2022,68 
01.07.2022,70 
01.08.2022,74 
01.09.2022,74 
01.10.2022,76 
01.11.2022,77 
01.12.2022,80 
01.01.2023,83 
01.02.2023,86 
01.03.2023,87 
01.04.2023,90 
01.05.2023,94 
01.06.2023,98 
01.07.2023,100 
